AvaWaterCon,MUKEY
0,657964
0,661627
0,661628
0,661629
0,661630
0,661631
0,661632
0,661633
0,661634
0,661635
0,661636
0,661637
0,661638
0,661639
0,661640
0,661641
0,661642
0,661643
0,661644
0,661645
0,661646
0,661647
0,661648
0,661649
0,661650
0,661651
0,661652
0,661653
0,661654
0,661655
0,661656
0,661657
0,661658
0,661659
0,661660
0,661661
0,661662
0,661663
0,661664
0,661665
0,661666
0,661667
0,661668
0,661669
0,661670
0,661671
0,661672
0,661673
0,661674
0,661675
0,661676
0,661677
0,661678
0,661679
0,661680
0,661681
0,661682
0,661683
0,661684
0,661685
0,661686
0,661687
0,661688
0,661689
0,661690
0,661691
0,661692
0,661693
0,661694
0,661695
0,661696
0,661697
0,661698
0,661699
0,661700
0,661701
0,661702
0,661703
0,661704
0,661705
0,661706
0,661707
0,661708
0,661709
0,661710
0,661711
0,661712
0,661713
0,661714
0,661715
0,661716
0,661717
0,661718
0,661719
0,661720
0,661721
0,661722
0,661723
0,661724
0,661725
2,661726
4,661727
0,661728
0,661729
0,661730
0,661731
0,661732
0,661733
0,661734
0,661735
0,661736
0,661737
0,661738
0,661739
0,661740
0,661741
0,661742
0,661743
0,661744
0,661745
0,661746
0,661747
0,661748
0,661749
0,661750
0,661751
0,661752
0,661753
0,661754
0,661755
0,661756
0,661757
0,661758
0,661759
0,661760
0,661761
0,661762
0,661763
0,661764
0,661765
0,661766
0,661767
0,661768
0,661769
0,661770
0,661771
0,661772
0,661773
0,661774
0,661775
0,661776
0,661777
0,661778
0,661779
0,661780
0,661781
0,661782
0,661783
0,661784
0,661785
0,661786
0,661787
0,661788
0,661789
0,661790
0,661791
0,661792
0,661793
0,661794
0,661795
0,661796
0,661797
0,661798
0,661799
0,661800
0,661801
0,661802
0,661803
0,661804
0,661805
7,661806
0,661807
0,661808
0,661809
0,661810
0,661811
0,661812
0,661813
0,661814
0,661815
0,661816
0,661817
0,661818
0,661819
0,661820
0,661821
0,661822
0,661823
0,661824
0,661825
0,661826
0,661827
0,661828
0,661829
0,661830
0,661831
0,661832
0,661833
0,661834
0,661835
0,661836
0,661837
0,661838
0,661839
0,661840
0,661841
0,661842
0,661843
0,661844
0,661845
0,661846
0,661847
0,661848
0,661849
0,661850
0,661851
0,661852
0,661853
0,661854
0,661855
0,661856
0,661857
0,661858
0,661859
0,661860
0,661861
0,661862
0,661863
0,661864
0,661865
0,661866
0,661867
0,661868
0,661869
0,661870
0,661871
0,661872
0,661873
0,661874
0,661875
0,661876
0,661877
0,661878
0,661879
0,661880
21,661881
0,661882
0,661883
0,661884
0,661885
0,661886
0,661887
0,661888
0,661889
0,661890
0,661891
0,661892
0,661893
0,661894
0,661895
0,661896
0,661897
0,661898
0,661899
0,661900
0,661901
0,661902
0,661903
0,661904
0,661905
0,661906
0,661907
0,661908
0,661909
0,661910
0,661911
0,661912
0,661913
0,661914
0,661915
0,661916
0,661917
0,661918
0,661919
0,661920
0,661921
0,661922
0,661923
0,661924
0,661925
0,661926
0,661927
0,661928
0,661929
0,661930
0,661931
0,661932
0,661933
0,661934
0,661935
0,661936
0,661937
0,661938
0,661939
0,661940
0,661941
0,661942
0,661943
0,661944
0,661945
0,661946
0,661947
0,661948
0,661949
0,661950
0,661951
0,661952
0,661953
0,661954
0,661955
0,661956
0,661957
0,661958
0,661959
0,661960
0,661961
0,661962
0,661963
0,661964
0,661965
0,661966
0,661967
0,661968
0,661969
0,661970
0,661971
0,661972
0,661973
0,661974
0,661975
0,661976
0,661977
0,661978
0,661979
0,661980
0,661981
0,661982
0,661983
0,661984
0,661985
0,661986
0,661987
0,661988
0,661989
0,661990
0,661991
0,661992
0,661993
0,661994
0,661995
0,661996
0,661997
0,661998
0,661999
0,662000
0,662001
0,662002
0,662003
0,662004
0,662005
0,662006
0,662007
0,662008
0,662009
0,662010
0,662011
0,662012
0,662013
0,662014
0,662015
0,662016
0,662017
0,662018
0,662019
0,662020
0,662021
0,662022
0,662023
0,662024
0,662025
0,662026
0,662027
0,662028
0,662029
0,662030
0,662031
0,662032
0,662033
0,662034
0,662035
0,662036
0,662037
0,662038
0,662039
0,662040
0,662041
0,662042
0,662043
0,662044
0,662045
0,662046
0,662047
0,662048
0,662049
0,662050
0,662051
0,662052
0,662053
0,662054
0,662055
0,662056
0,662057
0,662058
0,662059
0,662060
0,662061
0,662062
0,662063
0,662064
0,662065
0,662066
0,662067
0,662068
0,662069
0,662070
0,662071
0,662072
0,662073
0,662074
0,662075
0,662076
0,662077
0,662078
0,662079
0,662080
0,662081
0,662082
0,662083
0,662084
0,662085
0,662086
0,662087
0,662088
0,662089
0,662090
0,662091
0,662092
0,664152
0,664228
0,664230
0,664235
0,664293
0,664295
0,664304
0,664345
0,664364
0,664399
0,664402
0,664446
0,664447
0,664448
0,664461
0,664462
0,664496
0,664501
0,664504
0,664539
0,664612
0,664614
0,664627
0,664646
0,664654
0,664662
0,664663
0,664691
0,666910
0,666911
0,666912
0,666913
0,666914
0,667041
0,670344
0,670345
0,670346
0,670347
0,670418
0,670484
0,670800
0,674303
0,674305
0,674308
0,674311
0,674312
0,674313
0,674316
0,674330
0,674331
0,674333
0,674336
0,674338
0,674345
0,675751
0,675765
0,675766
0,675767
0,675768
0,675769
0,675770
0,675772
0,675780
0,677003
5,677004
0,677007
0,677069
0,677071
0,677076
